time,CPU_usage,MEM_usage,Net_rx,Net_tx
111.0,0.6997848410757946,374.337536,44.822,46.698
111.5,0.7914391619661564,374.345728,44.908,46.842
112.0,0.9936391836734694,374.345728,45.172,46.974
112.5,1.4665478119935171,374.345728,45.172,46.974
113.0,1.5835455278001613,374.345728,45.342,47.202
113.5,1.2130703764320785,374.337536,45.342,47.202
114.0,0.9862420796100733,374.337536,45.342,47.202
114.5,1.0139950289975144,374.341632,45.428,47.346
115.0,1.4762315112540192,374.341632,45.428,47.346
115.5,1.15128078817734,374.341632,45.428,47.346
116.0,1.5900145985401462,374.341632,45.514,47.49
116.5,0.9484764267990073,374.341632,45.514,47.49
117.0,0.7474014251781472,374.341632,45.514,47.49
117.5,1.4898491484184915,374.345728,45.6,47.634
118.0,0.9784444444444444,374.345728,45.6,47.634
118.5,1.4540683081810961,374.345728,45.6,47.634
119.0,1.2503703703703704,374.349824,45.686,47.778
119.5,0.9161709677419354,374.349824,45.686,47.778
120.0,1.1450341463414635,374.349824,45.686,47.778
120.5,0.9981637717121588,374.349824,45.772,47.922
121.0,1.4468237205523964,374.349824,45.772,47.922
121.5,1.1187870967741935,374.358016,45.772,47.922
122.0,1.1825506783719075,374.362112,45.858,48.066
122.5,1.1575686274509804,374.362112,45.858,48.066
123.0,0.7469802631578947,374.362112,45.858,48.066
123.5,0.7603798513625104,374.362112,45.944,48.21
124.0,0.8865721271393643,374.362112,45.944,48.21
124.5,1.0022570016474464,374.362112,45.944,48.21
125.0,0.3650879211175021,374.362112,46.03,48.354
125.5,0.4278978583196046,374.362112,46.03,48.354
126.0,1.8813290008123476,374.370304,46.03,48.354
126.5,1.10930658105939,374.370304,46.248,48.564
127.0,1.3802309542902966,374.644736,46.738,49.428
127.5,1.4464870129870129,374.534144,46.824,49.572
128.0,0.8779870759289176,374.534144,46.908,49.656
128.5,1.4615999999999998,374.534144,46.908,49.656
129.0,0.8664058919803601,374.534144,46.994,49.8
129.5,1.760297362110312,374.550528,46.994,49.8
130.0,0.9277159372419488,374.550528,46.994,49.8
130.5,1.1193359809372518,374.550528,47.08,49.944
131.0,1.045919208573784,374.6816,47.08,49.944
131.5,0.9598811881188118,374.571008,47.08,49.944
132.0,1.5674987794955246,374.571008,47.166,50.088
132.5,0.9330719999999999,374.571008,47.166,50.088
133.0,1.246191247974068,374.571008,47.166,50.088
133.5,1.124873866446826,374.587392,47.252,50.232
134.0,0.9716289666395443,374.587392,47.252,50.232
134.5,3.21815763546798,374.72256,47.783,51.144
135.0,1.2608766233766235,374.595584,47.869,51.288
135.5,1.356076433121019,374.595584,47.869,51.288
136.0,1.241763157894737,374.595584,47.911,51.33
136.5,0.8442920426579161,374.595584,47.997,51.474
137.0,1.3364926590538335,374.595584,47.997,51.474
137.5,1.0263615635179153,374.595584,47.997,51.474
138.0,1.4763219512195123,374.595584,48.083,51.618
138.5,1.072375415282392,374.595584,48.083,51.618
139.0,0.9190565428109856,374.595584,48.083,51.618
139.5,1.1675469879518072,374.595584,48.169,51.762
140.0,1.082360655737705,374.595584,48.169,51.762
140.5,2.42568058968059,374.603776,48.169,51.762
141.0,1.1783125506072873,374.603776,48.255,51.906
141.5,1.1546016000000001,374.603776,48.255,51.906
142.0,0.9914816625916871,374.603776,48.255,51.906
142.5,1.1425116279069767,374.603776,48.341,52.05
143.0,1.550183622828784,374.603776,48.341,52.05
143.5,1.1636387306753457,374.603776,48.341,52.05
144.0,1.4809354838709679,374.603776,48.427,52.194
144.5,1.0186536585365853,374.603776,48.427,52.194
145.0,0.9903168155970754,374.603776,48.427,52.194
145.5,1.3867128712871288,374.603776,48.513,52.338
146.0,0.7311245901639345,374.603776,48.513,52.338
146.5,1.3491784232365145,374.603776,48.599,52.482
147.0,1.2219456790123457,374.603776,48.599,52.482
147.5,0.6847375415282392,374.603776,48.599,52.482
148.0,1.2602655737704915,374.603776,48.685,52.626
148.5,0.8836593673965937,374.603776,48.685,52.626
149.0,1.2828489208633094,374.603776,48.685,52.626
